ID_DH,ID_SP,SL_SPMUA,GIA_SP
1,8862,3,2872000
2,2154,5,2158000
3,7888,6,1898000
4,3415,4,422000
5,7669,6,1679000
6,9346,9,359000
7,3168,8,175000
8,5781,10,2788000
9,8374,2,2384000
10,7136,6,1146000
11,5845,9,2852000
12,5190,3,2197000
13,5710,7,2717000
14,3896,8,903000
15,871,7,875000
16,952,4,956000
17,4511,9,1518000
18,642,7,646000
19,658,5,662000
20,6230,8,240000
21,4135,1,1142000
22,1589,2,1593000
23,356,1,360000
24,7332,9,1342000
25,1342,4,1346000
26,9630,10,643000
27,7797,1,1807000
28,5088,1,2095000
29,4416,1,1423000
30,6934,7,944000
31,5052,3,2059000
32,2514,3,2518000
33,7476,8,1486000
34,104,6,108000
35,6520,8,530000
36,241,9,245000
37,4585,9,1592000
38,1399,6,1403000
39,5105,1,2112000
40,1935,10,1939000
41,1428,8,1432000
42,4375,9,1382000
43,8051,4,2061000
44,7970,3,1980000
45,901,8,905000
46,1843,8,1847000
47,8407,4,2417000
48,8091,4,2101000
49,6381,3,391000
50,1135,3,1139000
51,8383,9,2393000
52,7113,3,1123000
53,4149,6,1156000
54,5981,4,2988000
55,9377,4,390000
56,8529,9,2539000
57,2956,3,2960000
58,9267,6,280000
59,7801,5,1811000
60,407,9,411000
61,691,8,695000
62,4001,2,1008000
63,8736,3,2746000
64,2200,3,2204000
65,2599,6,2603000
66,5450,3,2457000
67,8458,1,2468000
68,9550,8,563000
69,5949,2,2956000
70,7856,1,1866000
71,487,4,491000
72,7547,5,1557000
73,6745,2,755000
74,5495,1,2502000
75,2651,6,2655000
76,7555,9,1565000
77,1343,8,1347000
78,552,10,556000
79,4211,9,1218000
80,6181,4,191000
81,4447,8,1454000
82,5800,7,2807000
83,3231,2,238000
84,8032,6,2042000
85,9322,4,335000
86,7023,9,1033000
87,8226,1,2236000
88,1379,7,1383000
89,5143,1,2150000
90,4775,5,1782000
91,8492,9,2502000
92,1543,4,1547000
93,6215,7,225000
94,8058,8,2068000
95,8011,6,2021000
96,2092,10,2096000
97,2938,1,2942000
98,5978,8,2985000
99,3467,10,474000
100,1834,2,1838000
101,370,9,374000
102,6839,6,849000
103,492,4,496000
104,8090,9,2100000
105,6677,8,687000
106,5127,10,2134000
107,6714,3,724000
108,9517,3,530000
