ID_PO,ID_SP,MABACKORDER,SOLUONG,DONGIA
1,8862,57417602,5,2872000
2,2154,975314745,4,2158000
3,7888,48914283,7,1898000
4,3415,666808507,10,422000
5,7669,688612736,2,1679000
6,9346,461225831,3,359000
7,3168,194351341,1,175000
8,5781,543348170,9,2788000
9,8374,480971157,5,2384000
10,7136,333804137,5,1146000
11,5845,558868112,10,2852000
12,5190,511876409,7,2197000
13,5710,316672226,6,2717000
14,3896,419957203,8,903000
15,871,13558641,5,875000
16,952,726504183,4,956000
17,4511,254163657,3,1518000
18,642,795362113,6,646000
19,658,618036554,10,662000
20,6230,850348173,6,240000
21,4135,679924445,4,1142000
22,1589,391958575,10,1593000
23,356,332775937,1,360000
24,7332,735314247,2,1342000
25,1342,237419836,7,1346000
26,9630,417270342,2,643000
27,7797,489401015,4,1807000
28,5088,747282649,3,2095000
29,4416,658746104,9,1423000
30,6934,547647706,4,944000
31,5052,641404055,7,2059000
32,2514,640259306,9,2518000
33,7476,670056744,9,1486000
34,104,940486968,8,108000
35,6520,857774575,5,530000
36,241,314982712,7,245000
37,4585,713430479,2,1592000
38,1399,818710216,5,1403000
39,5105,82347241,10,2112000
40,1935,331941670,3,1939000
41,1428,239428832,8,1432000
42,4375,589528575,7,1382000
43,8051,974907472,10,2061000
44,7970,407846548,10,1980000
45,901,125986790,1,905000
46,1843,330569118,3,1847000
47,8407,339117187,8,2417000
48,8091,933677685,1,2101000
49,6381,224693186,8,391000
50,1135,865525314,7,1139000
51,8383,74785260,6,2393000
52,7113,57125720,3,1123000
53,4149,430849855,6,1156000
54,5981,285274877,3,2988000
55,9377,470043749,9,390000
56,8529,655175773,7,2539000
57,2956,469438126,8,2960000
58,9267,385742714,1,280000
59,7801,595267934,1,1811000
60,407,979232106,1,411000
61,691,253950645,5,695000
62,4001,475881098,8,1008000
63,8736,788400731,9,2746000
64,2200,171138684,3,2204000
65,2599,608825228,5,2603000
66,5450,728394932,5,2457000
67,8458,552291828,1,2468000
68,9550,196576243,4,563000
69,5949,179307253,6,2956000
70,7856,815095326,5,1866000
71,487,517587193,4,491000
72,7547,521934763,9,1557000
73,6745,526644216,3,755000
74,5495,521516367,4,2502000
75,2651,820166840,6,2655000
76,7555,654770918,9,1565000
77,1343,156792559,9,1347000
78,552,283484463,3,556000
79,4211,633061105,7,1218000
80,6181,843086299,4,191000
81,4447,638683656,4,1454000
82,5800,687340272,3,2807000
83,3231,310952781,1,238000
84,8032,73634536,10,2042000
85,9322,939452969,10,335000
86,7023,716616119,9,1033000
87,8226,958376238,3,2236000
88,1379,637714276,5,1383000
89,5143,15674237,6,2150000
90,4775,63071524,7,1782000
91,8492,474398719,10,2502000
92,1543,692435873,4,1547000
93,6215,941032991,4,225000
94,8058,202196399,4,2068000
95,8011,703738729,4,2021000
96,2092,483878615,6,2096000
97,2938,208126663,5,2942000
98,5978,907032490,1,2985000
99,3467,615272163,7,474000
100,1834,368292970,5,1838000
101,370,932730645,1,374000
102,6839,501637246,1,849000
103,492,196810637,8,496000
104,8090,114632034,5,2100000
105,6677,863126447,8,687000
106,5127,961607762,2,2134000
107,6714,654800801,7,724000
108,9517,591938019,5,530000
109,243,168391187,7,247000
110,4577,362114983,8,1584000
111,8472,600137823,1,2482000
112,7762,951378030,2,1772000
113,3003,NULL      ,8,10000
114,4668,753070033,2,1675000
115,2790,120533953,10,2794000
116,4401,281223543,3,1408000
117,6915,970545411,4,925000
118,5335,136994076,10,2342000
119,122,741099010,5,126000
120,450,353801221,9,454000
121,7454,491236343,8,1464000
122,5170,776691016,4,2177000
123,2701,337635124,9,2705000
124,8791,469189832,8,2801000
125,9896,321599392,3,909000
126,1275,497103128,7,1279000
127,7533,165805325,4,1543000
128,8436,884847512,1,2446000
129,1454,831850872,8,1458000
130,8389,69579653,4,2399000
131,6200,340517306,6,210000
132,3098,248619861,8,105000
133,9197,750717221,3,210000
134,4166,640452325,7,1173000
135,3727,158570433,8,734000
136,2906,861674725,1,2910000
137,693,406700272,7,697000
138,6336,176161336,8,346000
139,1203,864201408,10,1207000
140,7814,141944455,10,1824000
141,5782,682254486,6,2789000
142,5841,836770337,4,2848000
143,7775,492256385,3,1785000
144,3340,73330360,10,347000
145,1627,566108422,6,1631000
146,4153,343182897,8,1160000
147,7633,343495650,4,1643000
148,925,637983133,6,929000
149,8203,827009239,6,2213000
150,1000,932171031,6,1004000
151,5117,761362243,5,2124000
152,7342,216457374,3,1352000
153,2497,388504010,6,2501000
154,6620,11564531,3,630000
155,5347,466466816,8,2354000
156,4259,597823530,4,1266000
157,7695,413315536,5,1705000
158,7247,717666845,2,1257000
159,4764,975704531,2,1771000
160,5263,550323050,8,2270000
161,8771,522856018,7,2781000
162,9010,889270987,6,23000
163,8699,177106435,3,2709000
164,5204,802442018,1,2211000
165,7687,147371137,9,1697000
166,7045,766248804,8,1055000
167,7584,142645611,2,1594000
168,4960,396986786,4,1967000
169,2949,821855239,4,2953000
170,2211,925924271,6,2215000
171,533,294302879,10,537000
172,1204,219754687,5,1208000
173,8990,791883369,5,3000000
174,4239,454259037,10,1246000
175,4160,619070985,9,1167000
176,7698,950410189,6,1708000
177,5332,997782104,8,2339000
178,2383,287432485,4,2387000
179,3741,583508997,9,748000
180,7866,405174511,2,1876000
181,5975,389010167,2,2982000
182,8074,758578377,4,2084000
183,6579,22163069,3,589000
184,216,824796791,9,220000
185,3327,589759568,3,334000
186,4704,219176916,8,1711000
187,7003,8372207,10,1013000
188,9884,894464698,7,897000
189,8957,668708771,9,2967000
190,4943,460274418,10,1950000
191,9623,448515427,5,636000
192,7117,801519099,7,1127000
193,3539,678480976,7,546000
194,3585,926729587,2,592000
195,7219,530724460,5,1229000
196,747,53813574,9,751000
197,9291,653845910,1,304000
198,2087,4128236,5,2091000
199,6754,278851741,8,764000
200,3022,372096081,3,29000
201,2557,952049574,10,2561000
202,1014,672240733,6,1018000
203,9436,237079609,7,449000
204,3182,324169940,5,189000
205,9718,789601438,3,731000
206,5730,165468777,5,2737000
207,5584,202717541,4,2591000
208,9129,664704051,2,142000
209,6321,472565246,3,331000
210,51,807213752,6,55000
211,1260,823175001,4,1264000
212,3700,960257398,2,707000
213,1926,931412708,7,1930000
214,6171,870190167,3,181000
215,5531,230129857,5,2538000
216,4743,519846061,4,1750000
217,4165,670504229,5,1172000
218,7112,509277952,3,1122000
219,9072,202418942,8,85000
220,309,796229042,7,313000
221,1788,213715643,2,1792000
222,7233,NULL      ,1,1243000
223,2604,958441881,3,2608000
