ID_NBH,ID_SP,NGAYDANGBANSP
1,940,2/25/2021 21:35
2,4976,1/15/2021 9:52
3,5945,4/1/2020 7:13
4,4747,3/18/2021 21:09
5,4893,11/15/2021 8:21
6,4548,8/29/2020 20:12
7,4119,7/24/2021 8:59
8,6549,7/19/2021 13:10
9,7577,1/19/2021 1:45
10,5136,10/24/2021 21:57
11,212,1/5/2020 21:24
12,5018,9/9/2021 3:42
13,5716,7/24/2021 7:15
14,2751,2/24/2020 23:56
15,519,10/28/2020 17:56
16,9749,11/17/2021 18:13
17,8307,4/22/2021 2:29
18,7944,10/22/2020 13:52
19,7067,8/12/2021 23:44
20,5275,6/6/2021 15:44
21,3800,3/11/2020 10:37
22,1895,8/3/2020 17:54
23,8589,9/9/2020 9:11
24,5855,6/3/2020 19:17
25,8832,2/17/2021 10:30
26,6585,10/28/2020 19:48
27,2562,5/5/2020 10:58
28,8542,8/5/2021 2:29
29,6962,8/29/2020 21:31
30,8603,8/16/2020 19:18
31,7962,10/26/2021 15:19
32,4289,5/30/2021 3:41
33,3385,4/10/2021 18:24
34,6623,3/19/2020 20:00
35,9123,7/1/2021 21:34
36,899,12/1/2021 2:12
37,1106,11/13/2021 4:03
38,1158,2/15/2021 20:24
39,6910,1/28/2021 13:07
40,1912,4/13/2020 19:20
41,7856,10/8/2021 18:56
42,1117,6/8/2021 15:15
43,8864,6/30/2020 18:21
44,8262,3/14/2021 16:35
45,1834,6/13/2021 13:15
46,2302,11/24/2020 14:06
47,7783,10/16/2020 16:31
48,2807,8/27/2020 15:15
49,5522,6/12/2020 5:29
50,7239,10/25/2020 22:36
51,1772,6/22/2021 17:08
52,9321,3/29/2020 3:29
53,423,10/4/2020 1:11
54,3596,10/3/2021 1:19
55,7107,8/22/2021 8:30
56,5729,5/19/2021 19:48
57,7622,9/22/2021 1:15
58,586,9/7/2020 14:44
59,111,2/1/2021 15:05
60,9770,12/21/2021 12:36
61,6234,9/11/2021 6:28
62,9305,9/28/2021 5:42
63,8144,9/25/2021 22:51
64,6068,1/21/2020 1:19
65,6679,4/18/2020 8:32
66,9465,7/28/2020 21:38
67,2369,8/29/2020 0:35
68,1399,8/10/2021 14:56
69,4208,12/12/2020 0:52
70,2956,9/15/2020 12:31
71,5148,9/25/2020 9:48
72,4737,1/8/2021 12:10
73,8969,1/6/2020 20:29
74,7230,12/29/2021 3:31
75,7625,8/22/2020 11:35
76,7374,12/25/2020 4:03
77,3472,8/17/2020 2:07
78,1546,3/17/2021 22:36
79,3351,11/22/2020 8:05
80,1695,8/12/2020 20:59
81,7840,1/12/2020 17:34
82,8039,1/10/2020 22:55
83,3056,9/10/2020 16:19
84,5707,3/1/2020 19:42
85,6741,7/11/2021 12:08
86,4708,9/28/2020 22:33
87,7164,7/5/2020 3:09
88,483,10/8/2020 21:29
89,1670,11/13/2020 17:49
90,4811,3/22/2021 12:17
91,2534,7/9/2020 12:22
92,5019,1/9/2020 11:37
93,1917,8/30/2020 2:19
94,6285,12/30/2020 11:17
95,70,4/25/2020 11:25
96,7679,11/28/2020 21:43
97,175,7/15/2020 21:43
98,1431,5/1/2020 8:26
99,5198,4/19/2020 21:36
100,7020,6/10/2020 4:12
101,7961,5/16/2020 16:08
102,4875,5/15/2020 18:33
103,9496,3/20/2021 5:51
104,1474,12/25/2020 13:24
105,9720,6/7/2020 4:59
106,7262,9/13/2021 15:19
107,9202,10/5/2021 19:25
108,5138,11/1/2021 8:44
109,3485,9/25/2021 0:49
110,6727,12/7/2020 22:26
111,2455,1/31/2020 1:15
112,8791,7/21/2020 15:21
113,6637,9/24/2021 11:15
114,9626,9/24/2020 9:50
115,996,10/12/2021 8:19
116,4937,1/10/2020 21:41
117,5061,8/22/2021 8:27
118,5048,7/26/2021 19:32
119,5459,5/21/2020 6:52
120,8984,10/15/2021 13:59
121,9731,7/11/2020 0:18
122,5684,2/21/2021 7:40
123,1237,12/14/2020 19:06
124,2186,9/16/2021 4:27
125,8922,2/18/2020 15:43
126,3578,10/24/2020 18:16
127,8591,7/9/2020 15:44
128,4053,11/10/2020 23:44
129,5364,9/17/2021 8:33
130,8908,8/24/2021 9:16
131,6705,8/15/2021 8:34
132,9243,9/21/2021 16:52
133,3560,2/14/2021 4:53
134,5697,12/8/2020 10:56
135,2284,3/6/2020 11:25
136,7635,12/27/2020 4:27
137,8128,4/7/2021 0:13
138,1799,3/9/2020 8:25
139,2770,7/1/2021 10:06
140,1512,8/1/2020 17:16
141,3266,10/14/2021 2:13
142,7090,9/13/2021 6:58
143,8431,11/25/2020 11:24
144,3386,1/1/2021 11:38
145,4366,3/5/2020 20:20
146,7745,4/27/2020 15:12
147,5222,8/26/2021 21:36
148,3952,4/17/2021 23:50
149,5170,3/15/2021 21:07
150,1408,4/8/2020 13:25
151,5936,8/2/2021 5:16
152,9900,11/1/2020 14:17
153,3991,1/4/2021 16:05
154,9621,12/16/2020 14:27
155,451,6/1/2020 19:34
156,3896,10/31/2020 20:46
157,9441,5/20/2020 12:44
158,3310,9/8/2020 16:00
159,2687,7/14/2021 0:20
160,6459,2/6/2020 16:29
161,2165,3/31/2020 15:08
162,2860,6/22/2020 17:58
163,1313,6/21/2020 9:15
164,4580,9/12/2021 17:54
165,2932,7/23/2020 23:25
166,3698,1/26/2020 19:03
167,2044,1/18/2021 13:18
168,4099,7/3/2021 9:29
169,5253,6/26/2020 5:59
170,5947,2/19/2021 7:05
171,7768,3/11/2021 22:24
172,3938,5/19/2021 4:46
173,1796,8/28/2020 19:55
174,3062,7/12/2021 4:29
175,5204,11/9/2021 23:27
176,4009,2/20/2021 16:26
177,8396,8/18/2020 7:46
178,2024,2/14/2020 4:08
179,8867,12/19/2021 23:20
180,5593,2/4/2021 6:08
181,8610,1/31/2021 13:22
182,7880,5/9/2020 0:03
183,4230,7/5/2020 13:58
184,479,4/30/2021 2:56
185,4399,12/24/2020 1:11
186,7642,9/26/2021 19:32
187,7196,9/30/2021 18:35
188,222,11/15/2021 15:06
189,5406,7/8/2021 14:39
190,6386,1/21/2021 9:19
191,9701,6/20/2021 23:54
192,627,2/1/2020 10:00
193,5643,8/17/2020 8:33
194,2191,2/17/2021 12:40
195,666,5/23/2021 10:18
196,4451,7/29/2021 10:41
197,5744,4/14/2021 0:10
198,4360,3/21/2020 3:18
199,5045,4/28/2020 20:08
200,1297,11/26/2020 22:55
201,6926,12/2/2020 10:24
202,2906,10/23/2021 8:05
203,8769,11/22/2020 3:00
204,5832,3/1/2020 3:09
205,8978,5/14/2021 15:30
206,2628,4/30/2021 4:39
207,3715,7/29/2020 2:14
208,8580,1/2/2020 23:25
209,1033,10/28/2020 22:14
210,2566,8/5/2020 2:55
