ID_NBH,ID_VOUCHER,NGAYDANGBANV
1,3529,10/1/2020 6:16
2,176,6/20/2020 21:27
4,3833,4/10/2022 10:41
8,3092,10/14/2022 20:52
9,3971,10/6/2022 12:33
11,3352,9/11/2020 21:16
12,620,3/19/2020 19:02
13,52,7/30/2020 10:08
14,2133,8/28/2020 12:09
16,3221,3/21/2020 16:17
17,3258,2/12/2020 12:37
18,2721,7/6/2020 7:40
19,1558,6/27/2021 16:16
21,751,5/26/2022 19:01
22,2075,10/5/2020 14:39
26,3867,6/29/2022 22:21
29,2252,4/8/2020 8:20
30,2368,1/8/2020 9:50
31,3110,3/1/2021 14:53
33,2197,8/2/2020 23:49
35,3939,7/1/2021 20:15
36,3236,1/21/2021 1:48
39,2555,8/28/2022 15:49
40,3184,7/2/2021 2:56
41,1057,6/17/2022 2:38
42,3127,2/22/2022 0:12
44,2783,9/5/2021 8:01
45,1084,11/13/2021 16:49
46,3886,10/16/2022 1:56
50,370,9/23/2021 7:13
51,671,1/26/2022 4:52
52,1814,3/19/2021 18:03
54,3206,2/2/2021 8:32
55,967,7/22/2020 16:23
56,1521,1/5/2021 12:15
59,3536,11/20/2021 6:34
61,744,12/26/2020 2:06
65,2263,12/14/2020 4:40
66,2048,2/18/2022 15:10
68,1029,11/17/2021 21:47
70,1046,5/12/2022 5:27
72,3915,11/14/2020 6:06
75,3162,2/29/2020 1:53
76,1533,1/1/2020 4:26
77,3324,8/14/2020 13:03
78,3068,12/13/2021 20:31
81,3255,7/26/2020 17:49
82,3671,1/31/2022 1:45
85,850,2/5/2021 9:54
86,2804,11/4/2021 6:22
88,3810,6/2/2022 10:54
90,3019,7/18/2021 1:05
91,3468,5/17/2022 8:41
92,3155,5/8/2020 14:44
93,2123,2/25/2020 20:49
94,236,2/19/2021 8:43
101,3964,5/14/2020 22:15
102,3164,10/1/2021 1:18
104,3168,1/1/2020 14:16
105,2087,2/4/2020 18:29
106,1969,3/13/2020 5:22
109,2468,12/2/2021 12:27
112,1107,2/10/2022 13:50
114,329,10/20/2020 17:37
115,3495,3/1/2022 6:12
119,179,1/28/2021 5:36
120,490,7/31/2021 17:19
122,2275,1/29/2021 6:01
124,1761,8/10/2020 0:06
127,2672,12/24/2020 15:06
130,2745,5/15/2022 13:49
131,406,1/30/2022 11:17
136,3403,1/4/2020 13:20
140,3820,11/16/2021 4:46
141,3925,5/5/2022 20:28
144,680,6/2/2022 17:40
149,1105,6/21/2022 19:11
152,3582,9/13/2020 23:40
154,1818,8/30/2021 6:23
155,438,1/1/2020 3:44
156,1006,10/23/2022 7:41
157,3609,1/10/2022 8:34
158,2597,5/7/2021 5:57
159,3716,8/19/2020 5:29
161,2609,9/10/2021 20:41
162,3554,4/25/2020 20:14
166,2242,12/21/2022 12:19
170,195,4/25/2022 6:54
172,683,11/12/2021 5:30
174,873,3/10/2020 19:29
175,13,12/18/2020 21:45
176,958,9/25/2020 7:50
178,3144,7/15/2022 13:32
179,2393,2/5/2020 19:49
180,1873,9/25/2021 22:22
181,334,3/26/2020 5:23
182,3342,1/7/2022 15:45
183,3559,3/26/2020 9:46
184,3644,10/9/2021 16:18
186,1413,12/27/2020 16:17
187,686,10/23/2021 7:54
189,3490,2/19/2022 16:32
190,2582,1/11/2021 12:24
191,861,2/11/2020 4:41
192,3201,12/24/2020 0:03
194,3561,5/19/2021 12:03
195,3879,8/20/2021 9:45
196,3203,12/31/2021 4:16
197,2268,11/19/2020 6:38
202,1117,3/14/2022 19:27
204,2280,9/26/2020 14:54
205,3821,8/19/2020 15:04
207,2984,6/10/2021 0:05
209,3481,2/24/2021 12:43
210,3751,9/22/2022 3:02
215,752,4/19/2020 1:39
216,3828,5/18/2020 6:17
217,3218,1/23/2021 2:24
218,3434,1/18/2020 20:33
220,1602,7/4/2021 13:24
228,3659,9/29/2021 8:27
231,2954,9/7/2022 19:56
236,1823,10/31/2022 3:28
237,1544,7/21/2021 6:31
240,1633,1/16/2020 7:00
241,1379,6/23/2021 4:07
243,2375,3/1/2020 9:18
244,3263,8/6/2021 19:31
245,2987,5/15/2020 0:32
246,3938,4/19/2021 17:43
247,872,9/15/2022 11:37
248,3902,11/25/2020 18:39
249,3832,8/28/2020 2:59
252,3095,10/19/2022 4:44
253,3904,12/3/2020 7:10
255,1236,5/28/2020 21:20
256,2365,10/27/2022 11:47
257,2203,12/16/2022 18:34
258,3840,5/3/2020 20:23
260,3336,10/17/2021 9:54
261,825,6/4/2020 1:35
265,3450,9/22/2020 23:05
267,1400,2/9/2020 18:36
268,3057,6/9/2021 16:32
271,3634,9/18/2020 12:30
273,1478,3/27/2020 20:05
275,655,4/4/2022 14:24
278,1693,1/11/2020 2:54
279,119,12/18/2021 3:59
280,2685,5/28/2021 19:31
281,3130,12/22/2020 2:17
283,3738,7/25/2022 6:44
285,801,8/14/2022 13:32
289,3791,5/23/2022 13:50
290,2906,10/18/2021 3:31
291,1238,1/24/2022 10:08
293,2596,6/17/2020 10:03
294,2834,4/24/2020 7:21
298,1103,7/15/2020 9:29
301,2389,8/29/2022 2:37
303,787,3/25/2020 7:59
308,1781,6/9/2022 19:20
311,1132,8/27/2021 17:01
313,3985,4/7/2021 11:16
314,1713,4/9/2020 2:11
315,523,9/2/2022 18:35
316,1052,3/17/2022 18:26
318,1527,10/20/2020 10:00
319,3289,2/19/2022 17:12
327,1812,1/13/2020 14:10
328,3401,5/2/2022 23:26
330,2518,4/11/2020 16:38
333,1581,9/4/2021 14:04
334,3687,2/26/2020 19:01
335,1672,7/13/2021 8:06
336,261,8/17/2021 22:02
338,1859,11/3/2022 16:31
345,3231,9/3/2022 7:33
346,2438,3/24/2022 17:51
347,97,7/26/2021 1:37
348,2423,7/8/2022 8:17
349,1924,4/7/2022 22:58
356,2949,10/22/2022 5:51
357,1905,1/4/2021 22:12
358,2009,1/17/2021 8:23
360,557,5/30/2020 15:25
366,1164,7/21/2020 17:16
367,3911,11/26/2022 11:37
369,913,1/13/2020 1:52
370,2265,7/9/2020 8:25
371,1312,2/21/2022 12:16
372,3661,1/18/2022 2:51
373,2210,11/28/2021 17:51
374,3972,2/5/2022 0:13
375,3815,11/21/2020 10:32
377,2866,6/28/2021 18:16
378,2622,3/18/2021 17:52
379,3653,6/1/2022 11:19
380,144,9/22/2022 17:04
383,2750,6/29/2021 5:53
386,3206,1/5/2022 17:22
388,3697,11/14/2022 13:55
389,3215,7/19/2020 20:54
391,3380,7/19/2022 12:24
396,1455,5/20/2021 16:24
397,3369,2/5/2021 11:04
399,3769,12/17/2021 22:40
400,649,3/16/2020 5:25
402,960,11/22/2021 7:41
406,2729,8/30/2022 13:38
407,2526,4/21/2020 5:46
409,3210,6/11/2021 4:06
413,453,1/15/2021 3:12
414,3542,11/12/2021 0:45
416,2506,12/17/2020 22:59
418,3094,9/25/2020 8:59
423,1648,12/15/2020 14:58
427,3412,5/25/2022 4:04
428,3148,5/28/2021 23:34
429,1880,12/10/2020 15:51
430,3796,11/3/2021 2:36
431,2090,2/17/2022 20:31
432,1273,3/14/2022 17:51
433,1642,9/3/2020 14:26
437,1718,8/3/2021 8:56
438,3123,12/21/2022 21:56
440,2544,1/6/2020 20:40
441,537,1/29/2021 1:42
446,437,11/10/2021 5:00
450,2306,1/7/2020 6:58
451,1279,6/25/2022 9:12
458,3526,5/12/2022 18:29
461,625,1/15/2020 13:30
463,3417,8/28/2021 17:59
465,2647,6/19/2020 16:31
466,1106,6/26/2021 19:36
467,3507,8/23/2021 0:58
468,1811,4/24/2020 2:29
471,505,9/14/2022 13:14
472,3339,1/6/2021 10:02
474,865,12/10/2020 7:44
475,1134,10/23/2021 20:37
476,1065,4/2/2020 12:31
477,3379,8/3/2022 4:28
479,116,10/11/2020 16:09
482,303,12/4/2020 4:19
484,3230,9/30/2020 5:01
485,1232,7/29/2020 10:00
487,3370,4/17/2020 19:56
489,1688,4/13/2020 1:05
490,2686,9/1/2022 20:05
497,1076,9/6/2021 16:29
504,1457,8/31/2020 3:20
505,737,12/28/2021 12:54
506,2743,8/10/2021 22:53
507,3571,3/11/2020 1:29
508,1599,8/29/2022 15:32
511,3084,12/29/2022 2:02
514,2512,8/14/2021 2:21
517,3014,7/24/2022 0:10
519,1014,4/13/2022 2:17
520,877,10/12/2020 2:24
522,2728,10/14/2022 15:10
523,2521,12/23/2020 5:09
524,3049,10/22/2021 5:14
525,3357,5/28/2022 19:54
527,527,9/23/2022 23:48
530,2198,6/28/2021 12:51
533,3599,5/20/2021 0:33
539,143,6/3/2022 17:01
540,2445,4/2/2021 12:03
542,2154,12/26/2021 21:25
543,2086,6/16/2022 21:00
546,3180,5/10/2021 8:00
548,135,10/20/2020 4:36
555,2538,7/8/2022 13:10
556,1870,6/8/2020 16:12
558,237,8/7/2021 0:21
559,2836,12/31/2022 22:50
561,1128,4/17/2020 13:51
562,2884,11/16/2022 23:54
564,1525,6/14/2022 8:31
567,1077,6/30/2020 20:31
569,2079,9/7/2022 20:04
571,1858,5/22/2022 12:41
572,3390,2/8/2020 20:05
573,3960,1/31/2021 10:21
575,430,1/20/2022 19:58
579,3115,10/23/2020 7:31
580,1146,8/5/2021 12:43
584,1901,9/20/2020 4:57
587,1329,1/28/2020 17:13
588,2007,12/4/2022 10:45
589,2039,6/17/2020 0:31
590,3302,1/6/2021 2:42
591,3862,6/3/2021 22:43
595,3823,2/19/2022 1:32
597,2895,3/20/2022 12:54
598,2198,7/1/2022 1:25
600,3494,3/21/2021 0:34
604,12,10/30/2020 0:13
605,3073,10/1/2021 9:35
608,2976,3/17/2020 3:40
609,2546,10/12/2022 8:38
610,3480,2/24/2022 18:44
622,956,7/8/2020 16:11
625,3427,11/1/2022 22:43
628,3594,2/9/2021 23:46
630,1194,3/7/2020 20:19
631,81,12/19/2020 7:36
632,553,8/5/2022 13:52
633,1988,4/21/2021 2:52
634,1782,12/24/2021 6:46
637,531,6/6/2021 0:58
638,631,11/6/2021 17:10
639,2073,12/10/2021 2:12
641,1383,4/19/2022 20:46
644,136,8/23/2021 7:47
645,1455,8/25/2021 23:22
646,3983,1/17/2021 17:59
647,3726,6/16/2022 23:30
648,3557,2/12/2021 1:41
650,1254,12/1/2020 2:42
654,3590,12/29/2021 11:56
655,1831,12/3/2020 9:20
657,2695,11/23/2022 17:26
658,3896,6/17/2020 15:05
659,1902,10/25/2022 15:36
662,233,12/17/2020 17:56
664,2430,2/21/2020 7:11
665,3945,2/6/2021 17:05
666,2227,3/9/2021 7:04
669,2865,12/17/2022 7:26
671,3185,8/23/2020 21:03
674,1694,6/9/2020 12:26
676,1844,7/30/2020 20:46
678,323,10/1/2020 23:44
679,2759,12/8/2020 2:45
682,2080,5/12/2020 10:44
683,835,8/21/2020 9:05
686,2237,2/21/2020 15:33
687,2324,6/15/2022 23:34
691,1989,10/3/2022 13:17
693,2539,12/30/2021 7:18
697,712,1/12/2022 7:56
698,942,3/2/2022 2:35
701,3825,11/5/2021 6:57
706,2794,5/19/2021 14:28
707,3909,8/1/2022 11:18
711,2921,8/21/2020 22:35
714,1661,6/3/2021 2:28
715,3544,11/19/2022 2:14
716,293,11/22/2022 6:54
717,3884,4/16/2020 3:13
718,2842,10/11/2021 4:29
719,26,4/16/2020 15:29
723,756,9/21/2020 8:19
724,3847,4/13/2022 18:28
727,2903,6/19/2021 21:42
729,5,11/25/2022 16:51
731,1763,4/29/2020 21:40
732,3100,3/8/2020 13:55
733,1143,10/22/2021 22:02
734,734,8/9/2022 4:22
735,1421,11/27/2020 13:34
737,3837,6/30/2021 20:44
738,3080,12/21/2020 8:16
740,1700,8/30/2021 5:46
742,2684,11/4/2020 18:26
743,2667,11/27/2021 12:59
744,1883,10/19/2021 15:10
747,2833,11/19/2021 13:54
748,963,3/13/2022 7:34
749,3997,11/29/2020 9:50
750,3896,9/4/2021 10:28
751,1684,8/8/2020 20:29
754,1556,7/8/2020 16:46
755,3533,10/17/2022 7:39
756,2982,12/4/2020 0:11
757,947,3/24/2021 21:50
758,1719,7/7/2021 7:33
759,1967,9/25/2022 14:29
762,3873,8/13/2022 20:05
763,3170,10/26/2022 8:20
764,3071,6/22/2021 14:50
765,1340,8/4/2022 4:49
766,997,2/21/2021 9:57
769,59,9/10/2020 6:42
770,2904,1/21/2020 1:09
773,3694,9/12/2020 20:25
774,2953,10/27/2022 18:20
775,455,6/23/2021 17:37
779,3878,5/31/2021 20:47
782,3734,11/16/2022 16:57
789,2130,1/14/2020 15:47
791,1017,4/4/2022 22:44
793,3544,1/25/2021 14:07
797,3172,10/12/2021 3:53
799,354,5/14/2022 8:39
800,1353,4/16/2021 0:32
801,1654,10/5/2022 11:38
802,720,4/5/2020 5:11
803,2489,8/4/2022 12:00
806,3804,10/26/2021 5:16
808,689,4/27/2021 6:37
809,271,2/9/2020 7:03
810,1623,1/27/2021 2:13
811,3041,12/10/2020 14:26
814,373,3/13/2021 12:56
815,420,6/10/2022 0:55
816,3031,5/19/2020 23:26
817,2350,7/7/2022 7:52
820,1396,1/2/2020 19:25
821,3085,12/1/2020 9:58
822,3754,10/15/2021 22:12
823,3263,6/15/2020 20:28
824,1671,1/22/2021 9:34
826,2455,4/3/2020 23:33
827,2348,8/19/2020 23:42
828,2243,11/5/2020 21:07
830,3406,12/26/2020 21:00
831,18,11/12/2022 6:14
834,1111,7/29/2020 14:36
837,3460,4/20/2020 5:14
838,2463,2/2/2022 6:27
839,3518,5/22/2020 14:37
840,1512,7/8/2020 15:12
843,1889,10/10/2021 0:19
844,420,6/16/2022 21:54
845,149,3/7/2020 21:46
848,3462,1/27/2022 10:15
849,3576,2/1/2020 7:17
851,1226,7/26/2022 6:18
852,2571,10/6/2022 15:55
853,3432,2/26/2022 10:58
855,1997,5/7/2022 19:09
856,3066,10/21/2021 8:41
857,2351,1/3/2022 14:50
858,3899,11/24/2021 1:51
859,3440,4/9/2022 13:32
860,3448,10/11/2022 11:40
861,2415,6/13/2020 13:49
862,3332,3/23/2022 13:28
863,2701,7/28/2021 23:50
865,2279,4/5/2020 15:08
868,919,7/23/2022 1:59
869,3588,5/20/2021 1:28
871,3435,2/18/2020 6:04
873,2208,5/26/2021 1:43
875,1899,2/3/2021 20:47
876,3965,1/21/2022 23:14
877,1978,3/12/2022 18:49
879,739,1/24/2022 22:11
882,3631,11/16/2020 14:03
883,3891,5/21/2021 0:58
884,1882,1/17/2022 17:40
885,3616,8/30/2020 20:00
889,3490,7/15/2022 8:52
890,2912,11/13/2021 7:37
891,3240,10/20/2022 22:14
892,3826,1/10/2020 18:36
895,2998,8/27/2022 1:19
896,3686,7/4/2022 6:05
898,1081,6/5/2020 12:22
899,1346,11/1/2021 16:12
903,1974,2/18/2020 13:16
905,1528,4/12/2021 18:43
906,3498,5/2/2022 1:19
912,3824,11/23/2020 9:18
915,661,2/10/2020 14:32
919,2480,5/15/2022 12:41
920,3807,4/7/2022 19:42
922,1726,11/16/2021 16:26
924,2564,11/22/2021 5:20
929,678,12/29/2020 13:02
930,3846,1/30/2020 14:54
933,3808,10/20/2022 3:13
938,1690,2/18/2022 18:17
943,2813,10/18/2020 22:34
944,3264,5/10/2022 17:37
945,3493,4/16/2022 1:24
946,810,10/20/2022 22:11
947,2723,1/27/2021 16:33
949,2277,5/28/2022 8:31
951,1756,1/1/2020 2:37
952,2615,7/13/2021 4:29
953,3371,1/28/2021 3:28
957,3151,8/12/2021 16:17
958,3208,5/27/2022 5:21
962,3551,3/29/2022 12:03
963,3297,9/12/2021 12:42
966,2583,10/23/2021 7:54
967,1628,6/26/2020 23:07
973,3908,7/10/2021 19:08
974,3798,12/22/2021 11:23
976,3763,5/29/2022 21:49
977,3331,1/25/2021 21:44
978,3039,5/17/2021 9:46
979,1753,8/30/2022 2:20
980,603,7/18/2021 13:47
981,1676,4/7/2021 0:44
982,3455,10/1/2022 16:22
983,1745,6/15/2022 2:06
984,1965,8/10/2020 23:01
985,101,12/13/2021 13:11
986,2873,10/25/2020 3:48
987,2920,6/21/2021 7:03
990,2520,4/3/2021 4:40
993,3449,8/24/2021 10:20
995,2059,12/19/2021 6:24
998,3655,6/19/2022 0:20
1001,3953,6/19/2021 10:57
1002,1032,5/23/2022 5:14
1009,3898,9/17/2021 3:37
1010,766,7/11/2022 21:24
1012,961,1/25/2020 11:16
1013,1999,1/25/2021 17:54
1014,1024,6/5/2020 0:31
1017,3023,3/12/2021 6:56
1019,2065,11/28/2020 23:27
1022,2364,12/27/2020 19:33
1024,1040,12/7/2020 3:32
1025,3674,3/16/2020 4:29
1030,3407,2/17/2022 20:04
1034,1480,5/26/2021 10:02
1037,1142,9/27/2022 0:31
1040,3642,7/19/2021 19:10
1041,1230,8/1/2020 20:01
1045,2685,4/10/2022 7:52
1047,645,1/25/2021 22:46
1048,3238,9/12/2020 17:17
1050,2705,10/11/2022 11:40
1052,887,4/17/2022 6:43
1053,3516,5/5/2022 21:19
1058,2857,4/8/2022 9:19
1060,1323,9/17/2021 9:56
1061,2507,7/12/2020 14:09
1064,2926,5/11/2022 5:02
1066,1699,2/7/2021 10:02
1070,2774,11/3/2022 3:13
1072,3528,8/26/2021 1:32
1077,3364,8/1/2021 23:58
1079,3394,10/14/2021 5:03
1080,3470,3/6/2021 20:58
1081,3247,11/30/2020 8:11
1085,2391,12/16/2020 20:48
1087,1415,10/13/2022 4:13
1092,2595,6/14/2020 14:17
1093,1003,2/5/2021 12:52
1094,1345,5/14/2022 20:52
1098,249,12/20/2022 16:36
1099,3942,5/31/2022 8:16
1100,3989,8/29/2021 11:54
1103,2924,11/1/2021 3:16
1104,791,7/13/2022 20:26
1105,1711,4/17/2021 9:38
1106,1332,2/21/2021 11:01
1108,3036,1/26/2020 3:59
1109,1078,6/3/2021 17:11
1110,1865,5/14/2022 20:52
1112,1680,2/21/2020 5:20
1113,1408,8/1/2022 22:03
1114,3775,2/13/2021 5:41
1116,1173,12/21/2021 23:39
1117,2617,7/7/2021 15:23
1119,1857,6/10/2022 1:49
1120,3935,11/13/2020 14:43
1121,3814,10/12/2021 12:39
1124,3886,1/4/2020 12:58
1127,3895,7/6/2022 11:36
1129,305,4/25/2022 8:01
1133,2432,4/22/2020 8:09
1136,2147,1/15/2022 6:24
1137,2315,10/7/2021 11:10
1138,2767,8/13/2021 0:02
1141,3464,8/18/2020 12:45
1144,3051,8/2/2021 23:29
1145,3425,6/14/2022 8:13
1147,2160,10/4/2021 10:36
1149,1673,7/19/2021 1:47
1150,1682,10/9/2020 5:23
1151,3306,10/4/2020 0:22
1152,3689,4/16/2022 4:01
1153,1122,3/9/2022 12:15
1154,941,10/27/2020 20:51
1156,16,7/2/2020 19:49
1157,3068,8/23/2021 2:00
1158,3037,4/19/2022 14:03
1159,3349,5/5/2020 18:50
1160,2951,10/1/2020 23:19
1161,458,2/3/2022 22:09
1162,1957,10/18/2020 23:51
1164,21,8/29/2020 23:17
1165,642,3/31/2020 10:18
1166,3522,5/13/2021 9:03
1167,2085,2/27/2022 16:27
1168,2989,2/25/2020 18:19
1170,2124,10/15/2020 7:11
1171,2753,8/30/2022 22:29
1174,196,4/15/2022 8:09
1175,3628,7/30/2021 9:43
1178,1140,1/28/2021 6:41
1183,616,1/28/2022 2:35
1185,550,5/12/2022 23:35
1186,1630,9/19/2021 1:53
1189,1785,11/12/2021 18:45
1190,786,10/18/2021 7:08
1195,676,8/19/2022 14:33
1196,231,1/24/2021 20:45
1197,310,2/17/2022 13:21
1198,3615,3/2/2021 17:46
1200,3920,10/15/2020 13:32
1202,2095,4/12/2022 21:20
1204,3678,1/23/2022 21:32
1205,1507,5/9/2020 23:03
1206,775,8/20/2022 8:51
1208,3946,9/14/2021 19:28
1209,3581,6/17/2020 20:40
1210,2671,4/16/2022 2:45
1213,2517,4/6/2020 9:09
1214,1039,11/10/2022 4:27
1222,504,12/22/2021 2:10
1224,1135,9/26/2022 6:48
1225,2370,4/15/2022 17:08
1228,1367,8/21/2021 6:23
1229,929,9/2/2021 16:54
1230,2228,2/4/2020 13:50
1231,3764,9/25/2020 5:55
1232,1171,4/2/2020 2:46
1234,2165,6/27/2022 11:37
1237,944,12/26/2021 11:42
1242,3609,12/21/2020 2:08
1244,695,5/25/2020 22:50
1247,3485,11/24/2022 10:51
