ID_KH,ID_SP,BINHLUAN,SCORERATING,NGAYBINHLUAN
1,6325,hay bị lẫn và hạt hư.,5,10/21/2020 15:51
2,8603,ko đủ cách nhiệt,1,11/16/2020 19:35
3,9936,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",5,8/21/2021 10:10
5,5723,nói chung là ok,4,11/12/2021 8:43
6,6817,Giao hàng nhanh,2,1/24/2021 5:18
7,4675,Hình ảnh là 2 lúc nhận 1 hộp điều à.,1,6/14/2021 10:26
9,1244,hay bị lẫn và hạt hư.,4,7/29/2021 7:55
10,2741,"sẽ ủng hộ tiki nữa,san pham tot",4,1/4/2020 13:30
11,6796,sử dụng thường xuyên có giảm mụn đầu đen,2,5/20/2020 7:42
13,7239,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,5,3/10/2020 15:20
14,7198,mua nhiều lần của các thương hiệu khác,3,9/15/2020 12:19
15,7669,"chất liệu, sản phẩm như hình. được",3,5/15/2020 12:20
17,4362,Bánh xe nhựa mỏng chứ ko phải cao su,4,11/14/2020 21:30
20,5234,xe bằng sắt để chịu lực tốt,3,10/14/2021 17:31
21,9647,mình dùng bông lau hoặc lấy tay vỗ lên mặt,4,9/7/2020 3:59
22,1587,mua nhiều lần của các thương hiệu khác,2,3/14/2020 0:05
23,4088,sau khi sử dụng da có sáng hơn 1 tí,2,10/7/2020 20:46
25,6429,sản phẩm tuyệt vời.,1,7/22/2021 16:02
26,7256,dàn bằng nhôm không rỉ sét,2,4/9/2021 15:17
27,2052,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,4,10/28/2021 20:09
28,7011,"giao hàng nhanh, bảo hành chính hãng",5,9/24/2021 20:09
29,2631,"Dùng ổn, k bị thấm nước",2,8/24/2021 17:46
30,5284,rẻ hơn mua ở cửa hàng điện máy,4,9/12/2020 18:34
31,2642,xài xong thích lắm. da mịn hơn hẳn.,2,10/10/2020 15:41
32,8427,ko đủ cách nhiệt,5,10/11/2021 7:49
34,185,"chất liệu, sản phẩm như hình. được",5,1/27/2020 15:52
35,2974,khung inox mỏng ko chở được hàng nặng,2,3/31/2021 16:35
37,8487,hay bị lẫn và hạt hư.,2,4/13/2020 22:39
38,6910,đóng gói kĩ,4,1/19/2020 2:13
40,8946,nhìn dễ thương,3,4/15/2020 8:05
41,3254,"Ăn khá ngon ,độ mặn vừa phải ",1,6/3/2021 9:07
42,2366,mua nhiều lần của các thương hiệu khác,2,12/27/2021 18:11
43,7686,chất kem mịn,1,8/20/2021 7:26
44,9299,mặt đáy và trục bánh,1,12/15/2020 13:59
46,5633,"Ăn khá ngon ,độ mặn vừa phải ",3,3/15/2021 23:34
48,1361,hay bị lẫn và hạt hư.,2,4/9/2020 15:34
49,740,"Nhựa quá tệ, bị giòn gãy đứt",4,1/17/2021 9:21
50,5296,đóng gói kĩ,5,5/19/2021 10:35
51,3991,hết sẽ ủng hộ tiki nữa,3,3/7/2021 20:21
52,8876,hạt trung bình chứ ko to,3,12/11/2020 10:12
54,1294,"ko dùng nhấc bếp dc, trơn, ",4,2/20/2021 20:57
55,950,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",2,7/6/2021 21:11
56,8693,nhấc nồi nóng ko an toàn,5,2/18/2020 19:22
57,5074,hay bị lẫn và hạt hư.,3,8/5/2020 9:27
58,2101,nói chung là ok,2,9/30/2020 15:58
59,5466,"Ăn khá ngon ,độ mặn vừa phải ",1,12/4/2021 1:31
60,6195,"Nhựa quá tệ, bị giòn gãy đứt",1,12/20/2020 18:20
61,2303,hạt trung bình chứ ko to,4,11/16/2021 17:35
62,79,Đắt chứ không giảm,4,10/15/2021 15:07
63,224,"Nhựa quá tệ, bị giòn gãy đứt",5,10/23/2021 1:46
64,9368,"sẽ ủng hộ tiki nữa,san pham tot",1,9/8/2021 14:43
66,6907,"Sản phẩm sử dụng tốt, mẫu mã đẹp",3,3/31/2020 21:29
68,6148,"ko dùng nhấc bếp dc, trơn, ",1,9/22/2020 21:49
70,8008,Giao hàng nhanh,3,8/9/2021 1:26
71,9557,sản phẩm tuyệt vời.,5,9/16/2020 20:04
72,4798,mua nhiều lần của các thương hiệu khác,1,5/18/2021 5:05
73,9873,hạt trung bình chứ ko to,1,3/31/2021 22:34
74,8114,hạt trung bình chứ ko to,1,9/29/2021 21:40
75,1911,mặt đáy và trục bánh,4,11/22/2020 5:48
76,3521,sau khi sử dụng da có sáng hơn 1 tí,2,7/1/2020 16:43
77,1658,đóng gói kĩ,5,6/13/2021 4:52
78,6446,sau khi sử dụng da có sáng hơn 1 tí,4,4/5/2020 14:26
79,5088,sau khi sử dụng da có sáng hơn 1 tí,4,7/9/2020 11:36
80,8630,hạt trung bình chứ ko to,4,10/7/2021 20:47
81,3838,cảm giác dưỡng ẩm da tốt,4,7/17/2020 9:15
82,647,nhìn dễ thương,4,12/20/2020 5:26
83,9419,"Chất vải may xấu, đường may thì cẩu thả.",4,10/29/2021 14:30
84,3811,sau khi sử dụng da có sáng hơn 1 tí,4,12/29/2021 7:13
85,9261,"ko dùng nhấc bếp dc, trơn, ",3,8/3/2020 18:56
86,9971,"sẽ ủng hộ tiki nữa,san pham tot",2,4/13/2020 11:39
87,7509,hay bị lẫn và hạt hư.,2,10/18/2021 9:40
88,2756,mặt đáy và trục bánh,5,10/12/2021 5:16
89,9874,"Sản phẩm sử dụng tốt, mẫu mã đẹp",3,9/11/2021 5:25
90,2840,nhấc nồi nóng ko an toàn,3,7/12/2020 22:15
92,4282,Hình ảnh là 2 lúc nhận 1 hộp điều à.,2,6/26/2020 4:57
93,839,Thà k gập còn hơn.,1,9/3/2020 13:28
95,4383,sau khi sử dụng da có sáng hơn 1 tí,2,8/14/2020 21:57
97,3708,mua nhiều lần của các thương hiệu khác,3,5/2/2021 17:01
98,5167,mua nhiều lần của các thương hiệu khác,5,8/3/2020 11:03
99,8734,"Dùng ổn, k bị thấm nước",2,8/15/2021 16:22
100,7521,mua nhiều lần của các thương hiệu khác,5,12/11/2020 21:57
101,674,mua nhiều lần của các thương hiệu khác,2,3/24/2020 9:30
102,1057,nói chung là ok,4,5/18/2020 3:51
103,9663,hết sẽ ủng hộ tiki nữa,5,11/10/2020 5:25
104,5806,mặt đáy và trục bánh,3,4/16/2020 13:41
105,4291,"chất liệu, sản phẩm như hình. được",1,5/7/2021 10:49
106,8368,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",4,11/13/2020 13:03
108,5226,"Ăn khá ngon ,độ mặn vừa phải ",2,5/21/2020 20:54
109,6981,mặt đáy và trục bánh,1,9/8/2020 19:49
110,7292,Đắt chứ không giảm,4,10/18/2021 0:17
111,8700,"Ăn khá ngon ,độ mặn vừa phải ",4,3/16/2020 13:42
112,9734,Bánh xe nhựa mỏng chứ ko phải cao su,4,3/9/2021 7:50
114,6163,ko đủ cách nhiệt,2,4/9/2021 17:39
115,5719,cảm giác dưỡng ẩm da tốt,3,5/31/2021 23:13
116,2150,xài rất đã mà ko bị kích ứng da,1,12/21/2021 11:33
118,2354,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",3,5/6/2020 1:45
119,6271,"giao hàng nhanh, bảo hành chính hãng",4,2/8/2021 12:29
120,6547,mua nhiều lần của các thương hiệu khác,2,6/30/2020 8:12
121,6995,xe bằng sắt để chịu lực tốt,4,9/12/2020 19:13
