ID_HOADON,TENCONGTY,MASOTHUE,DIACHICTY,ID_DH
1,Surquestedgar  Group,8895154533,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",818
2,Adtinantor Holdings,1498091994,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",559
3,Lomwerpantor WorldWide Group,6831941977,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",1002
4,Tupvenilentor Direct,7154448218,"233đường Trục, P.13, Q. BìnhThạnh",443
5,Lommunor International,5079915759,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",274
6,Upzapower Direct Group,4875273793,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",468
7,Trucadinan Holdings,4016154334,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",470
8,Lomweradantor WorldWide,7684080538,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",31
9,Upbanegan International Inc,9013835007,"156 pAn Lạc A, QBình Tân, TpHCM",996
10,Supweramin WorldWide Company,3304355181,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",315
11,Grosapar WorldWide,8544892512,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",849
12,Klidimackax,5165746400,"233đường Trục, P.13, Q. BìnhThạnh",33
13,Repebistor Holdings,229309780,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",527
14,Adwerazz International,2828977383,120 Phan Xích Long P3 Quận Bình Thạnh,688
15,Varnipin International Corp.,690447668,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",82
16,Inkilexex Holdings,7103714515,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",454
17,Suptinover Direct,1268302408,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",989
18,Qwivenentor International,4512531542,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",763
19,Emtumicex  Inc,1160763175,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",382
20,Monfropplazz International Corp.,2737973670,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",958
21,Supdudazz,5246102966,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",716
22,Pardimefover International,2134493595,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",1005
23,Trukilommicator International Corp.,4435852403,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",795
24,Surrobex International,5588686532,"68 Nguyễn Huệ, P. Bến Nghé, Quận",458
25,Zeeglibedar International,3186447553,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",222
26,Thrududopan Holdings,7157378373,"233đường Trục, P.13, Q. BìnhThạnh",719
27,Emmunan Direct,2748065490,"233đường Trục, P.13, Q. BìnhThạnh",488
28,Frodudican Direct,5960268786,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",879
29,Unzaponax International Inc,9427082748,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",736
30,Trupickepar Holdings,5716508839,"233đường Trục, P.13, Q. BìnhThạnh",680
31,Survenadazz,4729520190,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",219
32,Enddudan Direct Inc,8181297836,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",897
33,Tipfropinor WorldWide,2595946168,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",839
34,Cipsapadicator Direct,8665117805,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",645
35,Unhupedgin International,1998972608,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",220
36,Dopcadover WorldWide Corp.,620133362,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",482
