ID_SP,TEN_SPHAM,MOTACHITIET_SP,KHOILUONG,GIANIEMYET,GIAKHUYENMAI,THOIGIANKM,SOLUONGTONKHO,GHICHUSPHAM,HANSUDUNGSP,NOISX,PHITIKITHU,LOAICAUTRUCSP,ID_TH,ID_DMN
1,EO1TN22AY56ID9KGV36QVTQCX879JNNXB3B4D9C,SH7FSB,8,5000,3000,7,4713,EX2FWL,1/12/2021 6:43,Nhật Bản,3000,3,727,95
2,KXPC0P,8RWC10M1CCJ3OCJCOG7ORY,5,6000,4000,0,3879,VQTSWGHXCHLTW,12/13/2021 12:12,Singapore,4000,3,818,107
3,OJGKM9XE3F2G68IDILLSLWDCPNO4QEF,LX226G,20,7000,5000,0,7535,JN65W0WQT1WL927EU4YM062TDFUUDP869FP7O5QUJVY22JO,4/20/2020 17:24,Trung QUốc,5000,3,769,100
4,SW64C9,EWYNGIX2XB5WYFH55PJ0A6SNGPC2CH4P7OW7NHWJG6,7,8000,6000,7,1913,JTLGRD3URTNF1B,3/27/2021 21:11,Trung QUốc,6000,3,559,73
5,5660F9CDAQG3WULMYYSBJ6EXLOJ9QZPF6W81,B397WPYSBRAL8N7I95DWX,12,9000,7000,7,4014,HAFUILZ0MA78MUEXOUWFQB1C3DEOGOQNHIWNER2FZCCD8R9VHS,8/10/2020 11:23,Trung Quốc,7000,3,207,27
6,KKZUIK,Q7XDOW7JEPGYB7JCMPR8ALUPS2DTZS4OBP8,20,10000,8000,4,4601,YG14UZ,5/31/2020 21:55,Trung Quốc,8000,3,1004,73
7,19V4GV01YHU8WD25NJ4QS,BYNEZZ,11,11000,9000,6,2939,GEC8KM,5/18/2020 21:17,Việt Nam,9000,3,907,118
8,R3LHW2KNWNNDWKQ,NHT7JVX4NQ7RDJDKI4PTX8RXZHDNJJ79UV2OTP3XZE8C3R7MNOOGAUPQ6NXSFFKS7O,2,12000,10000,4,747,BIDIMW,2/27/2020 1:18,Việt Nam,10000,3,443,58
9,SWQIVT,IAQ0IG,10,13000,11000,6,9911,W5Q0WH,6/23/2020 8:47,Hà Lan,11000,3,978,128
10,1ODXQL,YEY3U28WUUEZVJB76FAO55SQZQ6XLPCZVIAO7PUTWRTCQWAKCC1OURA835TOV4N9E5P5M,9,14000,12000,4,8831,XBF7YG,3/29/2021 15:11,Trung Quốc,12000,3,274,36
11,PQ5F9BDUU2KAVXA08URFAK8WOI3X50M,QOND04,17,15000,13000,0,7506,GWRXI3PQYXDV,6/12/2020 17:47,Trung Quốc,13000,3,292,38
12,A83CO15MQI54E9DACT852V7HEIX5SXODCVFG,214D9L,2,16000,14000,3,2222,B6WJ1JBEFQ879OTQFBJXU8F9ELIWIKH,7/26/2021 18:27,Trung Quốc,14000,3,468,61
13,83YJI8MR9HT83OVLVNP3AG3KDHA8K7O5KFN87NUYWTSL8TUK,WF44U7,9,17000,15000,4,1920,DXXHYNX7ORL1KGGQ8Y8FDH3L045OAY0DSD0C621,2/18/2021 8:23,Singapore,15000,3,633,83
14,C3ZXEIZRWUU7FNNFWFQ1KXS3RTBOO9J0AKSHV0V10E3QU2,JKSUS4,12,18000,16000,1,6462,CNXW29JWXVQ25I1QOHABQV52BK0IU9DQ1VHDD8,5/16/2021 23:31,Thái Lan,16000,3,470,62
15,C99VG1A,IBLC8SAU8228T794RW4G2FF2ZKQ774ZIVGSBHFQYJSJMDY5LD1W2JK6AM2RZQUNRPF7YSN5OYN09Q24RJH1UWPY2FKM8RWHY4,8,19000,17000,3,1618,RBI7LA,2/14/2021 13:46,Singapore,17000,3,983,128
