ID_THUOCTINHSP,ID_SP
1,71
1,2617
1,4721
1,5460
1,6248
2,177
2,687
2,1520
2,2915
2,8556
3,587
3,5495
3,7526
3,7983
3,8058
4,580
4,692
4,1480
4,1677
4,9342
5,342
5,4764
5,4920
5,7448
5,9595
6,326
6,489
6,1329
6,2758
6,5839
7,370
7,410
7,4910
7,6556
7,7698
8,552
8,799
8,2863
8,4570
8,6587
9,577
9,3704
9,4361
9,6089
9,6544
10,624
10,2074
10,5441
10,7063
10,7629
11,603
11,1139
11,1604
11,5603
11,7866
12,652
12,1387
12,4215
12,4953
12,5931
13,691
13,3667
13,3840
13,5914
13,7792
14,879
14,2664
14,4470
14,7038
14,8771
15,243
15,844
15,1836
15,3510
15,5052
16,783
16,5528
16,7145
16,8674
16,8767
17,300
17,399
17,4425
17,7060
17,9033
18,89
18,962
18,1379
18,4000
18,4036
19,122
19,1021
19,3124
19,5680
19,8661
20,1000
20,4149
20,5532
20,5938
20,8381
21,132
21,5015
21,5800
21,8054
21,8091
22,154
22,642
22,1205
22,6691
22,7838
23,1181
23,4019
23,5531
23,6106
23,8565
24,1302
24,3983
24,5797
24,6031
24,7190
25,1456
25,1946
25,3190
25,5602
25,6381
26,1187
26,1275
26,1476
26,5021
26,9105
27,501
27,1529
27,1998
27,3677
27,6428
28,500
28,869
28,1462
28,5569
28,7254
29,1794
29,3022
29,6365
29,6615
29,9321
30,1654
30,4191
30,4511
30,4976
30,5822
31,647
31,1680
31,2846
31,4597
31,8444
32,671
32,1494
32,1589
32,1877
32,2668
33,573
33,1843
33,4109
33,8525
33,9019
34,493
34,1479
34,2203
34,6103
34,6340
35,1844
35,6520
35,6635
35,8073
35,8304
36,1906
36,6739
36,7847
36,8263
36,8990
37,1821
37,2510
37,7827
37,9337
37,9415
38,304
38,936
38,2215
38,2563
38,2854
39,204
39,2200
39,3368
39,8967
39,9547
40,2213
40,3238
40,5176
40,5591
40,6071
41,2092
41,2301
41,2719
41,5657
41,8683
42,403
42,1056
42,1868
42,2217
42,6506
43,73
43,2154
43,2957
43,3782
43,4299
44,1194
44,5043
44,5091
44,8698
44,9612
45,1803
45,2280
45,6326
45,6740
45,6955
46,2340
46,3247
46,5232
46,6639
46,9652
47,2391
47,2430
47,2586
47,8162
47,8977
48,901
48,2848
48,3383
48,6020
48,6569
49,1522
49,2673
49,2707
49,8313
49,8584
50,32
50,1195
50,1563
50,2779
50,2991
51,526
51,1399
51,2589
51,2912
51,3727
52,1124
52,1632
52,2838
52,6675
52,9314
53,2844
53,3906
53,6529
53,6735
53,8284
54,83
54,2827
54,3682
54,6915
54,9843
55,757
55,2847
55,2997
55,4942
55,9170
56,2727
56,2975
56,3688
56,7538
56,9001
57,3340
57,3369
57,3690
57,8734
57,9038
58,372
58,2949
58,3539
58,5316
58,6156
59,3013
59,5742
59,5848
59,6880
59,7101
60,1331
60,3281
60,5183
60,5487
60,8049
61,1716
61,3215
61,7168
61,7743
61,7950
62,1428
62,2030
62,2953
62,4176
62,9325
63,2904
63,3312
63,4165
63,8090
63,8751
64,1536
64,3387
64,4182
64,4239
64,9291
65,1072
65,2242
65,2283
65,2852
65,3360
66,3276
66,3502
66,6787
66,7400
66,9122
67,3052
67,4175
67,7441
67,8481
67,9557
68,559
68,2751
68,3686
68,3698
68,8992
69,847
69,3943
69,4690
69,6314
69,6882
70,270
70,3925
70,4754
70,8894
70,9346
71,2790
71,2942
71,4070
71,4585
71,8529
72,446
72,1920
72,4049
72,4158
72,6688
73,2361
73,3902
73,6344
73,7276
73,8365
74,2356
74,4624
74,4803
74,7530
74,8011
75,4001
75,4135
75,4403
75,4786
75,5263
76,1626
76,2088
76,5112
76,6188
76,8957
77,2599
77,3893
77,5170
77,6256
77,9171
78,882
78,2004
78,3106
78,4838
78,5556
79,574
79,1045
79,3078
79,4166
79,6252
80,1081
80,3652
80,5781
80,7580
80,7586
81,4753
81,5436
81,7306
81,7454
81,8246
82,4897
82,4940
82,9493
82,9837
82,9884
83,2380
83,3330
83,4842
83,5383
83,7557
84,4401
84,5090
84,7925
84,8374
84,9072
85,2614
85,2702
85,3378
85,4167
85,4601
86,612
86,4632
86,7613
86,8048
86,9082
87,2876
87,4129
87,4544
87,5146
87,6799
88,3658
88,5009
88,6047
88,8603
88,8738
89,2870
89,4335
89,4917
89,6225
89,9003
90,681
90,2038
90,5238
90,8633
90,9644
91,72
91,1714
91,3962
91,5239
91,7856
92,1417
92,1875
92,1933
92,4841
92,6934
93,2481
93,4152
93,4837
93,6840
93,8682
94,4927
94,5691
94,8472
94,9397
94,9698
95,952
95,1009
95,2192
95,4393
95,4975
96,747
96,1135
96,5335
96,7618
96,8801
97,995
97,2497
97,4668
97,5127
97,9787
98,1649
98,3451
98,4226
98,4397
98,5701
99,2415
99,3458
99,5513
99,6555
99,7725
100,1246
100,2889
100,5733
100,6492
100,9721
101,1826
101,2058
101,3280
101,5687
101,8720
102,233
102,3515
102,3562
102,4775
102,5372
103,4447
103,6003
103,8936
103,9504
103,9891
104,2128
104,3094
104,6088
104,9295
104,9543
105,1785
105,4565
105,5584
105,6450
105,7074
106,5724
106,5751
106,6097
106,6200
106,6953
107,1532
107,2119
107,2279
107,6155
107,8999
108,3237
108,4377
108,6168
108,6757
108,7911
109,4153
109,5438
109,6257
109,7584
109,8002
110,1731
110,5710
110,6826
110,8074
110,9621
111,3977
111,4022
111,4892
111,5526
111,5730
112,4174
112,5318
112,6230
112,7481
112,9217
113,1128
113,1725
113,3047
113,6140
113,9651
114,1700
114,3746
114,6599
114,8731
114,9010
115,396
115,4498
115,6577
115,7226
115,7537
116,6250
116,6377
116,7148
116,7233
116,7690
117,1669
117,5679
117,6712
117,7200
117,8428
118,3479
118,4404
118,6286
118,6974
118,9119
119,1175
119,6714
119,6813
119,7045
119,7771
120,4959
120,6253
120,7252
120,7262
120,8598
121,3808
121,4184
121,6431
121,6478
121,8726
122,2553
122,5297
122,6534
122,8145
122,9801
123,744
123,2296
123,6670
123,7683
123,8080
124,1937
124,4185
124,6477
124,6745
124,8031
125,4204
125,5769
125,6782
125,6802
125,8340
126,1185
126,3896
126,6389
126,7795
126,7947
127,432
127,5020
127,5038
127,6191
127,6839
128,1771
128,2261
128,5949
128,6411
128,7342
129,298
129,6753
129,8457
129,8716
129,8776
130,1440
130,4555
130,6952
130,8167
130,9164
131,3087
131,6579
131,7012
131,8269
131,8281
132,75
132,6835
132,7076
132,7799
132,8673
133,596
133,3341
133,4140
133,5593
133,7086
134,2489
134,3824
134,5204
134,5477
134,6775
135,1538
135,2796
135,5908
135,6215
135,7510
136,3419
136,7135
136,7746
136,8203
136,8588
137,3463
137,6302
137,7003
137,7685
137,8354
138,34
138,885
138,5326
138,7219
138,7533
139,3044
139,3331
139,5978
139,6126
139,6677
140,492
140,3694
140,5845
140,7113
140,9923
141,7
141,186
141,3345
141,5117
141,6780
142,805
142,1084
142,7146
142,9146
142,9975
143,4048
143,4273
143,5552
143,7110
143,7555
144,2529
144,3634
144,6606
144,6883
144,7287
145,1406
145,2149
145,3600
145,3921
145,7332
146,1425
146,1729
146,2366
146,2604
146,7247
147,4375
147,6552
147,7762
147,8434
147,8791
148,1995
148,3012
148,7558
148,7633
148,9929
149,61
149,5861
149,7328
149,7571
149,8736
150,460
150,1543
150,6325
150,7302
150,7835
151,639
151,2172
151,2386
151,7689
151,9623
152,826
152,2774
152,4558
152,7476
152,8032
153,516
153,3512
153,5387
153,7207
153,7996
154,1285
154,1516
154,7220
154,7639
154,8795
155,1622
155,2831
155,4331
155,5604
155,7994
156,2251
156,4259
156,7870
156,8838
156,9433
157,169
157,2965
157,3017
157,8177
157,9035
158,1867
158,2317
158,3400
158,3680
158,8067
159,102
159,3708
159,7323
159,8100
159,9990
160,1100
160,2651
160,4935
160,6336
160,9556
161,5793
161,5807
161,8157
161,9263
161,9744
162,1327
162,4463
162,6104
162,7309
162,8069
163,239
163,1792
163,2911
163,7658
163,8277
164,643
164,1238
164,1321
164,5833
164,8076
165,5200
165,5596
165,6296
165,7258
165,8236
166,1651
166,2227
166,4093
166,5563
166,8356
167,104
167,3956
167,6339
167,8226
167,8405
168,742
168,1374
168,6171
168,8389
168,9436
169,486
169,3511
169,8241
169,8411
169,8479
170,1155
170,3912
170,4919
170,8316
170,8651
171,533
171,5068
171,7067
171,8056
171,9042
172,2701
172,3239
172,5272
172,6655
172,8578
173,1362
173,5077
173,8634
173,9289
173,9889
174,220
174,811
174,2805
174,6402
174,8699
175,659
175,4616
175,6822
175,8458
175,8900
176,2488
176,3787
176,4562
176,8867
176,9288
177,309
177,2591
177,7869
177,7968
177,8862
178,4855
178,8985
178,9500
178,9677
178,9687
179,964
179,6956
179,9014
179,9667
179,9828
180,3327
180,3833
180,4046
180,8981
180,9385
181,354
181,3217
181,6525
181,7954
181,9517
182,450
182,7730
182,7970
182,8996
182,9571
183,407
183,2593
183,4603
183,6645
183,9267
184,2107
184,2760
184,4773
184,5219
184,9197
185,477
185,912
185,5981
185,7039
185,9275
186,107
186,4246
186,7082
186,7360
186,9212
187,3146
187,4845
187,5895
187,7927
187,9307
188,1866
188,3866
188,6174
188,8830
188,9596
189,2080
189,3741
189,5871
189,7033
189,9471
190,4445
190,7143
190,9384
190,9418
190,9434
191,1010
191,5249
191,5772
191,8061
191,9502
192,878
192,6055
192,6359
192,7023
192,9922
193,4642
193,5149
193,5190
193,8868
193,9973
194,5313
194,6035
194,7545
194,7775
194,9881
195,4082
195,4743
195,8901
195,9439
195,9878
196,2608
196,3568
196,4826
196,9382
196,9720
197,565
197,883
197,4943
197,5664
197,9808
198,1861
198,5608
198,5811
198,5947
198,9896
199,846
199,1217
199,3803
199,7547
199,9996
200,2191
200,3141
200,7492
200,9349
200,9954
