ID_VOUCHER,TENVOUCHER,GIATIEN,GIAKHUYENMAI,DKSUDUNG,DACDIEMNOIBAT,THOIHANSUDUNG,ID_DMN
1,Retinilentor,100000,60000,01 Voucher/01 d.vụ. Không bù tiền,Hiểu được cảm xúc của chính mình.,8/3/2021 2:40,107
2,Adwerex,102000,61200,Không áp dụng Lễ Tết,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,3/5/2021 23:15,107
3,Parbanantor,104000,62400,Liên hệ hotline 0899 165 001 nếu cần tư vấn thêm,Khắc phục các lỗi an ninh mạng.,12/2/2021 11:48,107
4,Inweristor,106000,63600,01 Voucher/01 d.vụ. Không bù tiền,Voucher áp dụng cho Buffet tối 40 món,12/27/2020 19:35,107
5,Klierazz,108000,64800,Số lượng voucher có hạn.,Buffet sáng đẳng cấp quốc tế 5 sao.,10/29/2021 18:33,107
6,Surfropplar,110000,66000,Không áp dụng Lễ Tết,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",5/19/2021 4:22,107
7,Emquestackower,112000,67200,Không áp dụng cho chương trình trả góp 0%,"Nguyên liệu chế biến tươi ngon, sạch sẽ",1/23/2021 20:36,107
8,Hapcadazz,114000,68400,Không có giá trị quy đổi thành tiền.,"Áp dụng được cho cả nam, nữ",1/8/2021 2:22,107
9,Rapsapommar,116000,69600,Sử dụng tối đa 03 voucher/bill t.toán,Buffet với 70 món nướng và các món ẩm thực N.Bản,12/16/2020 23:51,107
10,Emsipax,118000,70800,Sản phẩm không được áp dụng đổi trả,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",12/1/2021 3:34,107
11,Supbanower,120000,72000,Không áp dụng cho chương trình trả góp 0%,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,9/12/2021 7:53,107
12,Lomzapollor,122000,73200,Số lượng voucher có hạn.,"Nhân viên trẻ trung,n.nhẹn,n.tình",6/18/2021 18:16,107
13,Rapquestegar,124000,74400,Không áp dụng Lễ Tết,Buffet sáng đẳng cấp quốc tế 5 sao.,12/22/2020 2:31,107
14,Adjuban,126000,75600,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,"Tiết kiệm t.gian, công sức trong h.tập",10/12/2021 9:46,107
15,Trudimegentor,128000,76800,Áp dụng cho tất cả các ngày trong tuần,"Nguyên liệu chế biến tươi ngon, sạch sẽ",5/8/2021 23:19,107
16,Surfropaman,130000,78000,Sử dụng tối đa 03 voucher/bill t.toán,Cơ hội hòa mình vào k.cảnh thanh bình,1/8/2021 7:43,107
17,Supbanackar,132000,79200,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,Khắc phục các lỗi an ninh mạng.,7/28/2021 8:02,107
18,Winpickex,134000,80400,Không áp dụng đ.thời với c.trình k.mãi khác,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,7/30/2021 16:57,107
